Journal title,Journal ISSN (print version),Journal EISSN (online version),APC amount,APC currency
Radiology and Oncology,,1581-3207,700,EUR
Journal of Cellular and Molecular Medicine,1582-1838,1582-4934,2500,USD
Annals of the University of Petrosani: Economics,1582-5949,2247-8620,50,EUR
Advances in Electrical and Computer Engineering,1582-7445,1844-7600,300,EUR
Annals of the Oradea University: Fascicle Management and Technological Engineering,,1583-0691,25,EUR
Buletin ştiinţific: Universitatea din Piteşti. Seria Ştiinţe Economice,1583-1809,2344-4908,30,EUR
Annals of Dunarea de Jos University. Fascicle I : Economics and Applied Informatics,1584-0409,,30,EUR
Archives of the Balkan Medical Union,1584-9244,2558-815X,110,EUR
Society and Economy,1588-9726,1588-970X,900,EUR
Annals of Microbiology,1590-4261,1869-2044,1390,GBP
Ratio Mathematica,1592-7415,2282-8214,90,EUR
Italian Journal of Animal Science,1594-4077,1828-051X,900,USD
Tropical Journal of Pharmaceutical Research,1596-5996,1596-9827,500,USD
Journal of Information Display,1598-0316,2158-1606,1200,USD
Research in Plant Disease,1598-2262,2233-9191,1044,USD
Genomics & Informatics,1598-866X,2234-0742,200,USD
The Korean Journal of Gastroenterology,1598-9992,2233-6869,10000,KRW
Ecography,,1600-0587,2200,USD
"Tellus: Series A, Dynamic Meteorology and Oceanography",,1600-0870,1350,USD
"Tellus: Series B, Chemical and Physical Meteorology",,1600-0889,1440,USD
Acta Crystallographica Section E,1600-5368,,250,USD
Oral Health and Preventive Dentistry,1602-1622,1757-9996,1250,EUR
Інтродукція Рослин,1605-6574,2663-290X,300,UAH
Reviews on Advanced Materials Science,,1605-8127,1200,EUR
Вісник Астрономічної школи,1607-2855,2411-6602,600,UAH
Iraqi Journal of Veterinary Sciences,1607-3894,2071-1255,100,USD
Kaohsiung Journal of Medical Sciences,1607-551X,2410-8650,400,USD
"Anaesthesia, Pain & Intensive Care",1607-8322,2220-5799,190,USD
Jilvah-i hunar,1607-9868,2538-256X,2000000,IRR
Majallah-i ̒Ilmī-i Dānishgāh-i ̒Ulūm-i Pizishkī-i Simnān,1608-7046,,2000000,IRR
Ibn Al-Haitham Journal for Pure and Applied Sciences,1609-4042,2521-3407,125000,IQD
International Journal of Qualitative Methods,,1609-4069,1500,USD
تنمیة الرافدین,1609-591X,2664-276X,100,USD
Vestnik Tomskogo Gosudarstvennogo Pedagogičeskogo Universiteta,1609-624X,,8000,RUB
Verbum et Ecclesia ,1609-9982,2074-7705,1111,ZAR
Journal of Business Economics and Management,1611-1699,2029-4433,600,EUR
Journal of Integrative Bioinformatics,,1613-4516,1000,EUR
Journal of Applied Botany and Food Quality,1613-9216,1439-040X,400,EUR
Applied Rheology,,1617-8106,1000,EUR
Tobacco Induced Diseases,,1617-9625,1750,EUR
Engineering in Life Sciences,1618-0240,1618-2863,2500,USD
Conflict & Communication Online,1618-0747,,150,EUR
e-Polymers,,1618-7229,1000,EUR
NeoBiota,1619-0033,1314-2488,900,EUR
Intercathedra,1640-3622,,100,EUR
Annual of Navigation,1640-8632,1640-8632,150,EUR
Zeszyty Teoretyczne Rachunkowości,1641-4381,2391-677X,900,PLN
Menopause Review,1643-8876,2299-0038,100,EUR
Ekonomiczne Problemy Turystyki,1644-0501,,590,PLN
Acta Scientiarum Polonorum. Architectura,1644-0633,2544-1760,600,PLN
Acta Scientiarum Polonorum Zootechnica,1644-0714,2300-6145,250,PLN
"Psicologia, Saúde & Doenças",1645-0086,2182-8407,75,EUR
Motricidade ,1646-107X,2182-2972,150,EUR
Business: Theory and Practice,1648-0627,1822-4202,300,EUR
Transport,1648-4142,1648-3480,300,EUR
Journal of Environmental Engineering and Landscape Management,1648-6897,1822-4199,200,EUR
International Journal of Strategic Property Management,1648-715X,1648-9179,480,EUR
Journal of Rehabilitation Medicine,1650-1977,1651-2081,1600,EUR
Food & Nutrition Research,1654-6628,1654-661X,1950,EUR
Global Health Action,,1654-9880,1400,EUR
Marine Drugs,1660-3397,,2400,CHF
International Journal of Molecular Sciences,1661-6596,1422-0067,2000,CHF
International Journal of Environmental Research and Public Health,1661-7827,1660-4601,2300,CHF
International Journal of Public Health,1661-8556,1661-8564,1980,CHF
Swiss Journal of Geosciences,1661-8726,1661-8734,1250,EUR
Case Reports in Gastroenterology,,1662-0631,680,CHF
Obesity Facts,1662-4025,1662-4033,1960,EUR
Frontiers in Neuroscience,1662-4548,1662-453X,2950,USD
Frontiers in Molecular Neuroscience,,1662-5099,2950,USD
Frontiers in Cellular Neuroscience,,1662-5102,2950,USD
Frontiers in Neural Circuits,,1662-5110,2950,USD
Frontiers in Neuroanatomy,,1662-5129,2950,USD
Frontiers in Systems Neuroscience,,1662-5137,2950,USD
Frontiers in Integrative Neuroscience,,1662-5145,2950,USD
Frontiers in Behavioral Neuroscience,,1662-5153,2950,USD
Frontiers in Human Neuroscience,,1662-5161,2950,USD
Frontiers in Computational Neuroscience,,1662-5188,2950,USD
Frontiers in Neuroinformatics,,1662-5196,2950,USD
Frontiers in Neurorobotics,,1662-5218,2950,USD
Case Reports in Dermatology,,1662-6567,680,CHF
Case Reports in Oncology,,1662-6575,680,CHF
Case Reports in Neurology,,1662-680X,680,CHF
Journal of Innate Immunity,1662-811X,1662-8128,1980,CHF
Case Reports in Ophthalmology,,1663-2699,680,CHF
Frontiers in Synaptic Neuroscience,,1663-3563,1900,USD
Frontiers in Aging Neuroscience,,1663-4365,1950,USD
Frontiers in Pharmacology,,1663-9812,2950,USD
Frontiers in Physiology,,1664-042X,2950,USD
Frontiers in Psychiatry,,1664-0640,2950,USD
Frontiers in Psychology,,1664-1078,2950,USD
Frontiers in Neurology,,1664-2295,2950,USD
Swiss Journal of Palaeontology,1664-2376,1664-2384,1000,EUR
Frontiers in Endocrinology,,1664-2392,2950,USD
Frontiers in Microbiology,,1664-302X,2950,USD
Frontiers in Immunology,,1664-3224,2950,USD
Frontiers in Plant Science,,1664-462X,2950,USD
Cerebrovascular Diseases Extra,,1664-5456,800,CHF
Dementia and Geriatric Cognitive Disorders Extra,,1664-5464,1800,CHF
Nephron Extra,,1664-5529,1800,CHF
Frontiers in Genetics,,1664-8021,2950,USD
Annals of Hepatology,1665-2681,2659-5982,1500,USD
"Genomics, Proteomics & Bioinformatics",1672-0229,,3500,USD
Guoji Yanke Zazhi,1672-5123,,300,USD
China Foundry,1672-6421,,3600,CNY
Chinese Journal of Contemporary Neurology and Neurosurgery,1672-6731,,600,USD
Zhongguo Jianchuan Yanjiu,1673-3185,,1200,CNY
Neural Regeneration Research,1673-5374,1876-7958,1500,USD
Jisuanji kexue yu tansuo,1673-9418,,3500,CNY
Journal of Molecular Cell Biology,1674-2788,1759-4685,1500,GBP
International Journal of Oral Science,1674-2818,2049-3169,2290,GBP
Atmospheric and Oceanic Science Letters,1674-2834,2376-6123,1000,USD
Current Zoology,1674-5507,2396-9814,900,GBP
Advances in Climate Change Research,1674-9278,,800,USD
Journal of Animal Science and Biotechnology,1674-9782,2049-1891,1100,GBP
Malaysian Journal of Public Health Medicine,1675-0306,,300,USD
GEMA Online® Journal of Language Studies,1675-8021,2550-2131,300,USD
Malaysian Journal of Learning and Instruction,1675-8110,2180-2483,225,USD
Biota Neotropica,,1676-0611,400,USD
Semina: Ciências Agrárias,1676-546X,1679-0359,300,BRL
Avaliação Psicológica,1677-0471,2175-3431,500,BRL
Boletim do Instituto de Pesca,,1678-2305,300,USD
Journal of Venomous Animals and Toxins including Tropical Diseases,,1678-9199,500,USD
Latin American Journal of Solids and Structures,1679-7817,1679-7825,1000,EUR
"Majallah-i Zanān, Māmā̓ī va Nāzā̓ī-i Īrān",1680-2993,2008-2363,1000000,IRR
Atmospheric Chemistry and Physics,1680-7316,1680-7324,1600,EUR
Advances in Geosciences,1680-7340,1680-7359,280,EUR
Aerosol and Air Quality Research,1680-8584,2071-1409,300,USD
مجلة كلية التربية للبنات,1680-8738,2663-547X,100000,IQD
Vіsnik Naukovih Doslіdžen',1681-276X,2415-8798,1500,UAH
African Invertebrates,1681-5556,2305-2562,375,EUR
The Iraqi Journal of Medical Sciences,1681-6579,2224-4719,100000,IQD
Системи обробки інформації,1681-7710,2518-1696,750,UAH
Pakistan Journal of Medical Sciences,1682-024X,1681-715X,400,USD
Data Science Journal,,1683-1470,350,GBP
Економіка розвитку,1683-1942,2304-6155,55,EUR
Journal of Rawalpindi Medical College,1683-3562,1683-3570,35,USD
Basrah Journal of Surgery,1683-3589,2409-501X,75000,IQD
Iraqi Journal of Pharmaceutical Sciences,1683-3597,2521-3512,250000,IQD
South African Journal of Human Resource Management,1683-7584,2071-078X,1062,ZAR
"Journal of Microbiology, Immunology and Infection",1684-1182,,1000,USD
Health Sciences and Diseases,1684-2782,2309-6535,120000,XAF
Lexikos,1684-4904,2224-0039,1200,ZAR
"African Journal of Food, Agriculture, Nutrition and Development",1684-5358,1684-5374,750,USD
Advances in Radio Science ,1684-9965,1684-9973,210,EUR
Warasan Witthayasat Lae Theknoloyi Mahawitthayalai Mahasarakham,1686-9664,,4000,THB
EURASIP Journal on Wireless Communications and Networking,1687-1472,1687-1499,1140,GBP
Al-Azhar Assiut Medical Journal,1687-1693,2536-9652,250,USD
Fixed Point Theory and Applications,1687-1820,1687-1812,990,GBP
Advances in Difference Equations,1687-1839,1687-1847,1060,GBP
Boundary Value Problems,1687-2762,1687-2770,1060,GBP
HBRC Journal,1687-4048,2090-9934,1250,EGP
Journal of Applied Veterinary Sciences,1687-4072,2090-3308,30,USD
Differential Equations and Nonlinear Mechanics,1687-4099,1687-4102,1025,USD
Journal of Nanomaterials,1687-4110,1687-4129,2100,USD
International Journal of Biomedical Imaging,1687-4188,1687-4196,900,USD
Egyptian Journal of Aquatic Research,1687-4285,,300,USD
"EURASIP Journal on Audio, Speech, and Music Processing",,1687-4722,1115,GBP
PPAR Research,1687-4757,1687-4765,1650,USD
EURASIP Journal on Image and Video Processing,1687-5176,1687-5281,1140,GBP
Journal of Control Science and Engineering,1687-5249,1687-5257,1400,USD
Computational Intelligence and Neuroscience,1687-5265,1687-5273,2100,USD
Modelling and Simulation in Engineering,1687-5591,1687-5605,900,USD
Advances in Multimedia,1687-5680,1687-5699,900,USD
International Journal of Antennas and Propagation,1687-5869,1687-5877,2100,USD
Advances in Human-Computer Interaction,1687-5893,1687-5907,900,USD
Advances in Tribology,1687-5915,1687-5923,900,USD
International Journal of Aerospace Engineering,1687-5966,1687-5974,2100,USD
Science and Technology of Nuclear Installations,1687-6075,1687-6083,1350,USD
Dermatology Research and Practice,1687-6105,1687-6113,900,USD
Gastroenterology Research and Practice,1687-6121,1687-630X,2100,USD
EURASIP Journal on Advances in Signal Processing,1687-6172,1687-6180,1140,GBP
Advances in Pharmacological Sciences,1687-6334,1687-6342,900,USD
Advances in Urology,1687-6369,1687-6377,900,USD
International Journal of Telemedicine and Applications,1687-6415,1687-6423,900,USD
Anesthesiology Research and Practice,1687-6962,1687-6970,900,USD
International Journal of Computer Games Technology,1687-7047,1687-7055,900,USD
Current Gerontology and Geriatrics Research,1687-7063,1687-7071,775,USD
Interdisciplinary Perspectives on Infectious Diseases,1687-708X,1687-7098,775,USD
Advances in Fuzzy Systems,1687-7101,1687-711X,900,USD
International Journal of Reconfigurable Computing,1687-7195,1687-7209,900,USD
Journal of Sensors,1687-725X,1687-7268,2100,USD
Advances in High Energy Physics,1687-7357,1687-7365,1350,USD
"Journal of Computer Systems, Networks, and Communications",1687-7381,1687-739X,1400,USD
International Journal of Digital Multimedia Broadcasting,1687-7578,1687-7586,900,USD
Applied and Environmental Soil Science,1687-7667,1687-7675,900,USD
Advances in Astronomy,1687-7969,1687-7977,1025,USD
International Journal of Chemical Engineering,1687-806X,1687-8078,1650,USD
Advances in Civil Engineering,1687-8086,1687-8094,2400,USD
Advances in Condensed Matter Physics,1687-8108,1687-8124,1350,USD
Advances in Mechanical Engineering,1687-8132,1687-8140,2100,USD
International Journal of Agronomy,1687-8159,1687-8167,900,USD
Journal of Toxicology,1687-8191,1687-8205,900,USD
International Journal of Endocrinology,1687-8337,1687-8345,2100,USD
Advances in Materials Science and Engineering,1687-8434,1687-8442,2300,USD
Journal of Oncology,1687-8450,1687-8469,2100,USD
International Journal of Zoology,1687-8477,1687-8485,775,USD
Journal of Radiation Research and Applied Sciences,1687-8507,2314-7164,400,USD
Journal of Cancer Epidemiology,1687-8558,1687-8566,900,USD
Advances in Virology,1687-8639,1687-8647,900,USD
International Journal of Dentistry,1687-8728,1687-8736,1400,USD
International Journal of Analytical Chemistry,1687-8760,1687-8779,1650,USD
International Journal of Biomaterials,1687-8787,1687-8795,900,USD
"Egyptian Academic Journal of Biological Sciences. A, Entomology",1687-8809,2090-0813,1000,EGP
International Journal of Geophysics,1687-885X,1687-8868,900,USD
International Journal of Cell Biology,1687-8876,1687-8884,775,USD
Advances in Hematology,1687-9104,1687-9112,775,USD
Advances in Mathematical Physics,1687-9120,1687-9139,2100,USD
Advances in Operations Research,1687-9147,1687-9155,1025,USD
International Journal of Microbiology,1687-918X,1687-9198,1025,USD
International Journal of Otolaryngology,1687-9201,1687-921X,775,USD
International Journal of Rheumatology,1687-9260,1687-9279,900,USD
Advances in Meteorology,1687-9309,1687-9317,1700,USD
International Journal of Corrosion,1687-9325,1687-9333,900,USD
International Journal of Forestry Research,1687-9368,1687-9376,775,USD
International Journal of Optics,1687-9384,1687-9392,1350,USD
International Journal of Polymer Science,1687-9422,1687-9430,1800,USD
Journal of Marine Biology,1687-9481,1687-949X,775,USD
Journal of Nanotechnology,1687-9503,1687-9511,900,USD
Journal of Probability and Statistics,1687-952X,1687-9538,1025,USD
Obstetrics and Gynecology International,1687-9589,1687-9597,900,USD
Journal of Robotics,1687-9600,1687-9619,900,USD
Case Reports in Medicine,1687-9627,1687-9635,650,USD
International Journal of Differential Equations,1687-9643,1687-9651,1025,USD
Stem Cells International,1687-966X,1687-9678,2150,USD
Journal of Tropical Medicine,1687-9686,1687-9694,1350,USD
International Journal of Ecology,1687-9708,1687-9716,775,USD
Applied Computational Intelligence and Soft Computing,1687-9724,1687-9732,900,USD
International Journal of Pediatrics,1687-9740,1687-9759,900,USD
Journal of Environmental and Public Health,1687-9805,1687-9813,1400,USD
Equilibrium. Quarterly Journal of Economics and Economic Policy,1689-765X,2353-3293,200,EUR
Akademika: Jurnal Pemikiran Islam,1693-069X,2356-2420,150,USD
Kompartemen: Jurnal Ilmiah Akuntansi,1693-1084,2579-8928,50000,IDR
Jurnal Pendidikan Fisika Indonesia,1693-1246,2355-3812,40,USD
Majalah Ilmiah Teknologi Elektro,1693-2951,2503-2372,15,USD
Transformatika,1693-3656,2460-6731,100000,IDR
Jurnal Aplikasi Manajemen,1693-5241,2302-6332,2000000,IDR
Jurnal Kimia Mulawarman,1693-5616,2476-9258,300000,IDR
Jurnal Farmasi Sains dan Komunitas,1693-5683,2527-7146,500000,IDR
Jurnal Manajemen & Agribisnis,1693-5853,2407-2524,800000,IDR
Jurnal Teknik,1693-6191,2715-7660,300000,IDR
Media Gizi Indonesia,1693-7228,2540-8410,1000000,IDR
Humanitas: Indonesian Psychological Journal,1693-7236,2598-6368,1000000,IDR
Medisains,1693-7309,2621-2366,350000,IDR
Jurnal Ilmiah Manajemen dan Bisnis,1693-7619,2580-4170,300000,IDR
Jema: Jurnal Ilmiah Bidang Akuntansi dan Manajemen,1693-7864,2597-4017,300000,IDR
Dharma Raflesia,1693-8046,2615-4544,500000,IDR
Jurnal Gizi Klinik Indonesia,1693-900X,2502-4140,500000,IDR
International Journal of Clinical and Health Psychology,1697-2600,,1000,EUR
Ecology and Society,,1708-3087,950,USD
"Allergy, Asthma & Clinical Immunology",1710-1484,1710-1492,1790,GBP
Avian Conservation and Ecology,1712-6568,,750,CAD
Canadian Journal of Infectious Diseases and Medical Microbiology,1712-9532,1918-1493,1800,USD
Island Studies Journal,,1715-2593,30,CAD
Italian Journal of Pediatrics,1720-8424,1824-7288,1370,GBP
European Journal of Inflammation,1721-727X,2058-7392,2000,USD
Biogeosciences,1726-4170,1726-4189,1510,EUR
Stellenbosch Papers in Linguistics Plus,1726-541X,2224-3380,2750,ZAR
Potchefstroom Electronic Law Journal,,1727-3781,3500,ZAR
Problems and Perspectives in Management,1727-7051,1810-5467,685,EUR
Авіаційно-космічна техніка та технологія,1727-7337,2663-2217,600,UAH
 Vìsnik - Kiïvsʹkij nacìonalʹnij unìversitet ìmenì Tarasa Ševčenka: Ìstorìâ,1728-2640,,1047,UAH
Vìsnik Žitomirsʹkogo Deržavnogo Tehnologìčnogo Unìversitetu: Ekonomìčnì Nauki,1728-4236,,40,UAH
Journal of Exercise Science & Fitness,1728-869X,,1000,USD
JLUMHS,1729-0341,2309-8627,50,USD
SAHARA-J,1729-0376,1813-4424,1200,USD
Eastern-European Journal of Enterprise Technologies,1729-3774,1729-4061,225,EUR
International Journal of Advanced Robotic Systems,,1729-8814,1500,USD
Przegląd Naukowy Inżynieria i Kształtowanie Środowiska,1732-9353,2543-7496,492,PLN
Polish Journal of Microbiology,1733-1331,2544-4646,500,USD
Archives of Medical Science,1734-1922,1896-9151,600,EUR
Journal of Modern Science,1734-2031,2391-789X,120,EUR
Family Medicine & Primary Care Review,1734-3402,2449-8580,800,PLN
International Journal of Applied Mechanics and Engineering,1734-4492,2353-9003,100,EUR
علوم سیاسی,1735-0557,2645-5773,1000000,IRR
تحقیقات جنگل و صنوبر ایران,1735-0883,2383-1146,500000,IRR
تحقیقات علوم چوب و کاغذ ایران,1735-0913,2383-112X,500000,IRR
Iranian Journal of Immunology,1735-1383,1735-367X,200,USD
"Iranian Journal of Allergy, Asthma and Immunology",1735-1502,1735-5249,300,USD
Journal of Research in Medical Sciences,1735-1995,1735-7136,200,USD
Taḥqīqāt-i ̒Ulūm-i Raftārī,1735-2029,2008-8248,1200000,IRR
تحقیقات نظام سلامت,1735-2363,2322-5564,2000000,IRR
Caspian Journal of Environmental Sciences ,1735-3033,1735-3866,2500000,IRR
Dental Research Journal,1735-3327,2008-0255,200,USD
ARYA Atherosclerosis,1735-3955,2251-6638,3500000,IRR
مجله پژوهش‌های علوم و صنایع غذایی ایران,1735-4161,2228-5415,1500000,IRR
اندیشه‌های نوین تربیتی,1735-448X,2476-7654,1500000,IRR
Majallah-i ḥuqūq-i taṭbīqī ,1735-496X,2423-3404,2000000,IRR
Iranian Journal of Pathology,1735-5303,2345-3656,250,CAD
Research in Pharmaceutical Sciences,1735-5362,1735-9414,500,USD
مجله دامپزشکی ایران.,1735-6873,2676-704X,4000000,IRR
Iranian Journal of Parasitology,1735-7020,2008-238X,250,USD
هنر اسلامی,1735-708X,2676-7759,9500000,IRR
Iranian Endodontic Journal,1735-7497,2008-2746,450,USD
مجله پژوهش در علوم توانبخشی,1735-7519,2008-2606,1000000,IRR
مدیریت اطلاعات سلامت,1735-7853,1735-9813,2000000,IRR
Sālmand,1735-806X,1735-806X,10000000,IRR
فصلنامه خانواده پژوهی,1735-8442,2476-7484,1500000,IRR
Iranian Journal of Nursing and Midwifery Research,1735-9066,2228-5504,100,USD
Journal of Mazandaran University of Medical Sciences,1735-9260,1735-9279,3000000,IRR
Estonian Journal of Earth Sciences,1736-4728,1736-7557,500,EUR
Proceedings of the Estonian Academy of Sciences,1736-6046,1736-7530,500,EUR
Journal of Nuclear Fuel Cycle and Waste Technology,1738-1894,2288-5471,300000,KRW
Hanggong uju uihakoeji,1738-2548,2713-9972,20000,KRW
대한영상의학회지,1738-2637,2288-2928,50000,KRW
Journal of Distribution Science,1738-3110,2093-7717,600000,KRW
Journal of Breast Cancer,1738-6756,2092-9900,500,USD
Clinical and Developmental Immunology,1740-2522,1740-2530,2100,USD
Journal of Circadian Rhythms,,1740-3391,500,GBP
Drugs in Context,,1740-4398,1550,GBP
Cancer Imaging,1740-5025,1470-7330,1690,GBP
Maternal and Child Nutrition,1740-8695,1740-8709,2500,USD
Evidence-Based Complementary and Alternative Medicine,1741-427X,1741-4288,2400,USD
BMC Biology,,1741-7007,2290,GBP
BMC Medicine,,1741-7015,2490,GBP
Journal of Neuroinflammation,,1742-2094,2190,GBP
Theoretical Biology and Medical Modelling,,1742-4682,1790,GBP
Retrovirology,,1742-4690,1990,GBP
Reproductive Health,,1742-4755,1790,GBP
International Wound Journal,1742-4801,1742-481X,2532,USD
Immunity & Ageing,,1742-4933,1990,GBP
AIDS Research and Therapy,,1742-6405,1790,GBP
Emerging Themes in Epidemiology,,1742-7622,1690,GBP
Journal of Plant Interactions,1742-9145,1742-9153,1950,USD
Frontiers in Zoology,,1742-9994,1790,GBP
Journal of NeuroEngineering and Rehabilitation,,1743-0003,1990,GBP
Virology Journal,,1743-422X,1890,GBP
Nutrition & Metabolism,,1743-7075,1990,GBP
Cerebrospinal Fluid Research,,1743-8454,1370,GBP
Particle and Fibre Toxicology,,1743-8977,2490,GBP
Molecular Systems Biology,,1744-4292,1750,EUR
Journal of Maps,,1744-5647,500,GBP
Molecular Pain,,1744-8069,2500,USD
Annals of General Psychiatry,,1744-859X,1690,GBP
Globalization and Health,,1744-8603,1890,GBP
Behavioral and Brain Functions,,1744-9081,1890,GBP
Scandinavian Journal of Disability Research,,1745-3011,470,GBP
Women's Health,,1745-5065,1500,USD
Biology Direct,,1745-6150,1690,GBP
Trials,,1745-6215,1570,GBP
Journal of Occupational Medicine and Toxicology,,1745-6673,1890,GBP
Journal of Experimental Nanoscience,1745-8080,1745-8099,1500,USD
Diagnostic Pathology,,1746-1596,1790,GBP
Head & Face Medicine,,1746-160X,1790,GBP
Journal of Ethnobiology and Ethnomedicine,,1746-4269,1890,GBP
International Breastfeeding Journal,,1746-4358,1690,GBP
Plant Methods,,1746-4811,1690,GBP
BMC Veterinary Research,,1746-6148,1790,GBP
Cell Division,,1747-1028,1990,GBP
"Philosophy, Ethics, and Humanities in Medicine",,1747-5341,1190,GBP
"Substance Abuse Treatment, Prevention, and Policy",,1747-597X,1790,GBP
International Journal of Low-Carbon Technologies,1748-1317,1748-1325,750,GBP
International Journal of Qualitative Studies on Health & Well-Being,1748-2623,1748-2631,1550,EUR
Journal of Algorithms & Computational Technology,1748-3018,1748-3026,1200,USD
Implementation Science,,1748-5908,2090,GBP
Computational and Mathematical Methods in Medicine,1748-670X,1748-6718,2100,USD
Radiation Oncology,,1748-717X,1790,GBP
Algorithms for Molecular Biology,,1748-7188,1490,GBP
Environmental Research Letters,,1748-9326,1550,GBP
Social Cognitive and Affective Neuroscience,1749-5016,1749-5024,790,GBP
Journal of Brachial Plexus and Peripheral Nerve Injury,,1749-7221,2300,USD
World Journal of Emergency Surgery,,1749-7922,2390,GBP
Journal of Orthopaedic Surgery and Research,,1749-799X,1690,GBP
Journal of Cardiothoracic Surgery,,1749-8090,1690,GBP
Neural Development,,1749-8104,1890,GBP
Chinese Medicine,,1749-8546,1935,GBP
Micro & Nano Letters,,1750-0443,2000,EUR
Carbon Balance and Management,,1750-0680,1190,GBP
Orphanet Journal of Rare Diseases,,1750-1172,1870,GBP
Molecular Neurodegeneration,,1750-1326,1890,GBP
Influenza and Other Respiratory Viruses,1750-2640,1750-2659,2500,USD
Infectious Agents and Cancer,,1750-9378,1890,GBP
International Journal of Multiphysics,1750-9548,2048-3961,600,GBP
Acta Veterinaria Scandinavica,,1751-0147,1790,GBP
BioPsychoSocial Medicine,,1751-0759,1690,GBP
Journal of Biological Dynamics,1751-3758,1751-3766,1195,USD
Animal,1751-7311,1751-732X,1400,USD
Microbial Biotechnology,,1751-7915,1800,EUR
Green Chemistry Letters and Reviews,1751-8253,1751-7192,600,USD
"IET Circuits, Devices and Systems",1751-858X,1751-8598,2000,EUR
IET Computers & Digital Techniques,1751-8601,1751-861X,2000,EUR
IET Communications,1751-8628,1751-8636,2000,EUR
IET Control Theory & Applications,1751-8644,1751-8652,3200,USD
IET Electric Power Applications,1751-8660,1751-8679,2500,EUR
"IET Generation, Transmission & Distribution",1751-8687,1751-8695,2500,EUR
IET Information Security,1751-8709,1751-8717,2000,EUR
"IET Microwaves, Antennas & Propagation",1751-8725,1751-8733,2000,EUR
IET Nanobiotechnology,1751-8741,1751-875X,2000,EUR
IET Optoelectronics,1751-8768,1751-8776,2000,EUR
IET Intelligent Transport Systems,1751-956X,1751-9578,2000,EUR
IET Computer Vision,1751-9632,1751-9640,2000,EUR
IET Image Processing,1751-9659,1751-9667,2000,EUR
IET Renewable Power Generation,1752-1416,1752-1424,2900,EUR
Conflict and Health,,1752-1505,1790,GBP
Chemistry Central Journal,,1752-153X,1690,EUR
Journal of Medical Case Reports,,1752-1947,1690,GBP
International Journal of Mental Health Systems,,1752-4458,1890,GBP
Evolutionary Applications,,1752-4571,2450,EUR
Clinical and Translational Science,1752-8054,1752-8062,2750,EUR
Child and Adolescent Psychiatry and Mental Health,,1753-2000,1790,GBP
Journal of Flood Risk Management,,1753-318X,2000,EUR
Innate Immunity,1753-4259,1753-4267,2000,USD
Therapeutic Advances in Respiratory Disease,1753-4658,1753-4666,2300,USD
BMC Proceedings,,1753-6561,1690,GBP
Therapeutic Advances in Cardiovascular Disease,1753-9447,1753-9455,2000,USD
Journal of Biological Engineering,,1754-1611,1570,GBP
ecancermedicalscience,,1754-6605,1000,GBP
Biotechnology for Biofuels,,1754-6834,1990,GBP
Disease Models & Mechanisms,1754-8403,1754-8411,2500,GBP
Patient Safety in Surgery,,1754-9493,1790,GBP
Conservation Letters,,1755-263X,1850,USD
Marine Biodiversity Records,,1755-2672,1390,GBP
Epidemics,1755-4365,1878-0067,2460,USD
IET Power Electronics,1755-4535,1755-4543,2500,EUR
Cardiovascular Therapeutics,1755-5914,1755-5922,2100,USD
CNS Neuroscience & Therapeutics,1755-5930,1755-5949,2150,EUR
International Archives of Medicine,,1755-7682,600,EUR
Molecular Cytogenetics,,1755-8166,1890,GBP
BMC Medical Genomics,,1755-8794,1790,GBP
BioData Mining,,1756-0381,1690,GBP
BMC Research Notes,,1756-0500,1110,GBP
Interventional Cardiology Review ,1756-1477,1756-1485,1050,GBP
Therapeutic Advances in Gastroenterology,1756-283X,1756-2848,2300,USD
Therapeutic Advances in Neurological Disorders,1756-2856,1756-2864,2300,USD
Therapeutic Advances in Urology,1756-2872,1756-2880,2300,USD
Parasites & Vectors,,1756-3305,1890,GBP
Journal of Functional Foods,1756-4646,2214-9414,1900,USD
Molecular Brain,,1756-6606,1990,GBP
Thyroid Research,,1756-6614,1790,GBP
International Journal of Spray and Combustion Dynamics,1756-8277,1756-8285,1200,USD
International Journal of Micro Air Vehicles,1756-8293,1756-8307,1200,USD
International Journal of Climate Change Strategies and Management,1756-8692,1756-8706,1500,GBP
Journal of Hematology & Oncology,,1756-8722,2790,GBP
Epigenetics & Chromatin,,1756-8935,1890,GBP
Genome Medicine,,1756-994X,3060,GBP
Journal of Experimental & Clinical Cancer Research,,1756-9966,2380,GBP
Journal of Foot and Ankle Research,,1757-1146,1790,GBP
GCB Bioenergy,1757-1693,1757-1707,2500,USD
Journal of Ovarian Research,,1757-2215,1790,GBP
EMBO Molecular Medicine,1757-4676,1757-4684,3300,EUR
Gut Pathogens,,1757-4749,1790,GBP
Stem Cell Research & Therapy,,1757-6512,1790,GBP
"Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine",,1757-7241,1990,GBP
Orthopaedic Surgery,1757-7853,1757-7861,2200,USD
Database: The Journal of Biological Databases and Curation,,1758-0463,800,GBP
Breast Cancer Management,1758-1923,1758-1931,1415,USD
"Sports Medicine, Arthroscopy, Rehabilitation, Therapy & Technology",,1758-2555,1370,GBP
Journal of the International AIDS Society ,,1758-2652,2400,USD
Journal of Cheminformatics,,1758-2946,1290,GBP
European Cardiology Review ,1758-3756,1758-3764,1050,GBP
US Cardiology Review ,1758-3896,1758-390X,1050,GBP
Diabetology & Metabolic Syndrome,,1758-5996,1790,GBP
